glacier,Carrivick,HF,Bedmap2,Deepbedmap,Bedmachine,Shahateet
2558_term,0.156885125649994,0.081030839518695,0.000479371489966,0.000427344659744,0.000595468130597,0.106244403793819
2668_term,0.034822198621744,0.099633818097985,0.040272712174113,0.019710573186293,0.017409479272073,0.141336203810751
2707_term,0.003818816573032,0.006598835311126,0.000659857214997,0.00832341183959,0.000243376049579,0.00887997418459403
2731_term,0.006296720046352,0.023934361296547,0,0.005274575734548,0.000105367048607,0.0111957112669709
Aagaard_Glacier,0.039112403157774,0.172382164670866,0.06436994841472,0,0.004300782155293,0.169022484715907
AB32918,0.002918820694556,0.003286286197599,0.0000194,0.0000572,0.000153577087323,0.00305245750649648
AC172563,0.005566616929322,0.009796946247325,0.000674522855743,0,0.0000453,0.00929655996396371
ADD_1281,0.101514779783072,0.092717032768553,0.003161929020249,0.152852669558907,0.000554998436174,0.159860479453812
ADD_1284,0.021358036273899,0.045567216104342,8.84953218210864E-05,0.05061256795173,0.000698934393551,0.0521812154409034
ADD_1306,0.102731373600925,0.135159250281274,0.007716092565995,0.069604262786327,0.003902535063501,0.141784812179483
ADD_1308,0.266623395809483,0.442434411341574,0.044301094669048,0.020385872550561,0.006807482702892,0.457158880255879
ADD_1314,0.020828827305867,0.018081233156702,0.001299668885563,0.001694332069095,4.67659649395201E-05,0.0276089224835892
ADD_1315,0.022832895642243,0.06887152770994,0.002118449298236,0.000408513662405,0.001386735866457,0.068962997567238
ADD_1342,0.330636368759239,0.382347344812378,0.178147493856419,0.034618108123524,0.133399236299559,0.413068531793892
ADD_1363,0.003125257380697,0.007469749812802,3.54270775086997E-07,0,0.000372194869394,0.00477208022682922
ADD_1396,0.022111666063514,0.031020260666481,0,0,0.000343636684806,0.0166152137349956
ADD_1425,0.004595679635019,0.018548996443507,0.000177853610942,0,0.001081182737737,0.0108253316307312
ADD_1475,0.012307060921707,0.018782480402963,0.000536796884296,0.017898587526078,8.594428047857E-05,0.017987748413358
ADD_1490,0.000319246577569,0.002271333797053,0,0.004843381199071,4.83367512660733E-05,0.00307312067002165
ADD_1495,0.020194974628718,0.006735853186582,0,0.017478496696156,6.00625193991742E-05,0.018182258159127
ADD_1502,0.125138773362023,0.061403933754833,0.000330825943967,0.059251650742645,0.000585777313135,0.127311327019333
ADD_1526,0.197979167235469,0.212268404786982,0.00766627395526,0.422972261757913,0.001137557877688,0.178987054983373
ADD_1540,0.021751507321171,0.030605872099842,0,0.014451398020404,3.74973114706962E-05,0.0367027667535512
ADD_1541,0.166293144784103,0.17883773449872,0.052117410023939,0.05956325670095,0.04321487468698,0.160006902420565
ADD_1549,0.039475295255418,0.040887357363548,0,0.039437805545638,0.00054890827186,0.0533161869502037
ADD_1550,0.025485096115956,0.034224791261687,0,0.075368567560265,0.000203304723222,0.0410014899721415
ADD_1551,0.002234411550796,0.004281612171918,0.004182401762807,0.011376985109464,0.007908374028698,0.00661334487615739
ADD_1553,0.009472881252847,0.016560945030395,0.002150464176268,0.073037637351332,0.0001655663815,0.0222700282447202
ADD_1554,0.031776790355624,0.027020192662854,0.00982368957464,0.019113118963483,0.007840049899868,0.017034824570086
ADD_1570,0.026938078180497,0.062817815667197,0,0.354771581632503,0.001208274587638,0.0706536565390717
ADD_1573,0.00384915123833,0.007137702090432,0,0.035439256511622,0.000649811758258,0.00868363870174515
ADD_1584,0.01632153018517,0.018048950027515,0.010018694576589,0.013332548728955,0.001653030809645,0.0120689246678679
ADD_1586,0.060501198618411,0.050316848720762,0.059789452609283,0.021589431021541,0.030980785040482,0.0514299875371729
ADD_1589,0.015119571280767,0.025320413937394,0.023829895472643,0.011030227143467,0.026117263061928,0.0188086102686112
ADD_1592,0.007693537802389,0.013457658161469,0.006783033165773,0.006031634476904,0.000411148719453,0.0141613115168135
ADD_1607,0.014174188780336,0.045318645050792,0.038450917190667,0.034585865931145,0.018681925415062,0.0307804870082847
ADD_1608,0.015068161919779,0.01608452824506,0.014540535367532,0.03048523389652,0.027591634648294,0.00914134316754239
ADD_1612,0.015727981674569,0.040743352909106,0.05195594869909,0,0.012505068556469,0.0334179304912307
ADD_1615,0.005660373808638,0.008958975017606,0.006975652312959,0.012562250028323,0.009912812213609,0.00890627203630589
ADD_1617,0.002956023442084,0.007575496890805,0.007704139788255,0.009620340495387,0.017401700291514,0.006839994980749
ADD_1620,0.006529612899286,0.02172050032776,0.016413701540532,0,0.000798398031342,0.0234267056053445
ADD_1622,0.004008954195498,0.010406246521457,0.003807417850271,0.008201051597722,0.008352162600025,0.00547633165770118
ADD_1624,0.00117815939927,0.002150939011402,0.003205462932354,0.003335839764382,0.007123956151802,0.0020882766118982
