glacier,Carrivick,HF,Shahateet,diff_car,diff_hf
2558_term,0.156885125649994,0.081030839518695,0.106244403793819,0.384910974934788,0.269267457130456
2668_term,0.034822198621744,0.099633818097985,0.141336203810751,1.20929803765476,0.346120943862139
2707_term,0.003818816573032,0.006598835311126,0.00887997418459403,0.797108592174045,0.294743452214303
2731_term,0.006296720046352,0.023934361296547,0.0111957112669709,0.560126963812931,0.725227652550027
Aagaard_Glacier,0.039112403157774,0.172382164670866,0.169022484715907,1.24832586103466,0.0196815126038478
AB32918,0.002918820694556,0.003286286197599,0.00305245750649648,0.0447598679682771,0.0737776133625477
AC172563,0.005566616929322,0.009796946247325,0.00929655996396371,0.501903874443784,0.0524142897406077
ADD_1281,0.101514779783072,0.092717032768553,0.159860479453812,0.446451587201384,0.531666070304367
ADD_1284,0.021358036273899,0.045567216104342,0.0521812154409034,0.838278292157279,0.135326966008655
ADD_1306,0.102731373600925,0.135159250281274,0.141784812179483,0.319434383894984,0.0478476544276722
ADD_1308,0.266623395809483,0.442434411341574,0.457158880255879,0.526499448099747,0.0327358352976554
ADD_1314,0.020828827305867,0.018081233156702,0.0276089224835892,0.279950873324759,0.417056549419383
ADD_1315,0.022832895642243,0.06887152770994,0.068962997567238,1.005058076394,0.00132724159079978
ADD_1342,0.330636368759239,0.382347344812378,0.413068531793892,0.221679762963358,0.0772455966370433
ADD_1363,0.003125257380697,0.007469749812802,0.00477208022682922,0.417057729572758,0.44072978913111
ADD_1396,0.022111666063514,0.031020260666481,0.0166152137349956,0.283857225633237,0.604803336693079
ADD_1425,0.004595679635019,0.018548996443507,0.0108253316307312,0.807943381709104,0.525878569426723
ADD_1475,0.012307060921707,0.018782480402963,0.017987748413358,0.375027116283966,0.0432269265211778
ADD_1490,0.000319246577569,0.002271333797053,0.00307312067002165,1.62357073480681,0.300044420963144
ADD_1495,0.020194974628718,0.006735853186582,0.018182258159127,0.104891172363448,0.918721713194055
ADD_1502,0.125138773362023,0.061403933754833,0.127311327019333,0.0172117472247237,0.698485040310236
ADD_1526,0.197979167235469,0.212268404786982,0.178987054983373,0.100762939131827,0.170125931651629
