Lon,Lat,Thick,Elev,Unc,Day,Qual,Source
-6.1776021999999998e+01,-6.5849676999999772e+01,323.2300,498.4539,10.5996,735301,1,IRMCR2_20091116_01
-6.1766527000000011e+01,-6.5847330999999770e+01,284.4600,498.2668,10.1453,735301,1,IRMCR2_20091116_01
-6.1756822999999997e+01,-6.5845050999999771e+01,281.8100,498.2800,10.1157,735301,1,IRMCR2_20091116_01
-6.1746993000000003e+01,-6.5842848999999759e+01,295.9100,498.3338,10.2755,735301,1,IRMCR2_20091116_01
-6.1737038999999996e+01,-6.5840730999999778e+01,304.2900,498.4284,10.3729,735301,1,IRMCR2_20091116_01
-6.1726970000000009e+01,-6.5838701999999770e+01,325.4400,498.5638,10.6266,735301,1,IRMCR2_20091116_01
-6.1716783000000007e+01,-6.5836763999999775e+01,318.3700,498.7400,10.5406,735301,1,IRMCR2_20091116_01
-6.1706488000000000e+01,-6.5834917999999774e+01,271.8800,498.9571,10.0064,735301,1,IRMCR2_20091116_01
-6.1696081999999997e+01,-6.5833170999999766e+01,309.8100,499.2148,10.4381,735301,1,IRMCR2_20091116_01
-6.1685575000000000e+01,-6.5831524999999772e+01,309.4800,499.5131,10.4341,735301,1,IRMCR2_20091116_01
-6.1675226000000009e+01,-6.5830014999999776e+01,316.4900,499.8434,10.5179,735301,1,IRMCR2_20091116_01
-6.1664713000000006e+01,-6.5828592999999771e+01,320.6500,499.7485,10.5682,735301,1,IRMCR2_20091116_01
-6.1653992000000002e+01,-6.5827254999999766e+01,312.5000,499.5091,10.4701,735301,1,IRMCR2_20091116_01
-6.1643192999999997e+01,-6.5826020999999770e+01,313.8300,499.3098,10.4860,735301,1,IRMCR2_20091116_01
-6.1632317000000000e+01,-6.5824898999999775e+01,317.3700,499.1507,10.5285,735301,1,IRMCR2_20091116_01
-6.1621377000000010e+01,-6.5823887999999783e+01,303.3900,499.0320,10.3623,735301,1,IRMCR2_20091116_01
-6.1610377000000000e+01,-6.5822985999999773e+01,277.9600,498.9537,10.0730,735301,1,IRMCR2_20091116_01
-6.1599316000000002e+01,-6.5822202999999774e+01,255.3400,498.9160,9.8305,735301,1,IRMCR2_20091116_01
-6.1588200999999998e+01,-6.5821544999999773e+01,231.4100,498.9188,9.5906,735301,1,IRMCR2_20091116_01
-6.1577050999999990e+01,-6.5821003999999775e+01,258.5700,498.9623,9.8642,735301,1,IRMCR2_20091116_01
-6.1566026000000001e+01,-6.5820582999999758e+01,263.3100,498.8509,9.9143,735301,1,IRMCR2_20091116_01
-6.1554834000000007e+01,-6.5820270999999778e+01,235.1900,498.7983,9.6273,735301,1,IRMCR2_20091116_01
-6.1543624999999999e+01,-6.5820077999999754e+01,259.8900,498.7866,9.8781,735301,1,IRMCR2_20091116_01
-6.1532407000000006e+01,-6.5819992999999769e+01,275.0900,498.8157,10.0414,735301,1,IRMCR2_20091116_01
-6.1521187000000005e+01,-6.5819974999999772e+01,253.2400,498.8859,9.8088,735301,1,IRMCR2_20091116_01
-6.1509971000000000e+01,-6.5819974999999758e+01,237.6900,498.9971,9.6519,735301,1,IRMCR2_20091116_01
-6.1498758999999993e+01,-6.5819965999999766e+01,235.9400,499.1494,9.6347,735301,1,IRMCR2_20091116_01
-6.1487547999999990e+01,-6.5819945999999774e+01,245.9700,499.3429,9.7345,735301,1,IRMCR2_20091116_01
-6.0320055000000004e+01,-6.6766224999999835e+01,8.2000,496.7006,8.4016,735301,1,IRMCR2_20091116_01
-6.0321226000000003e+01,-6.6770798999999826e+01,175.0700,496.7711,9.1005,735301,1,IRMCR2_20091116_01
-6.0322400000000002e+01,-6.6775371999999834e+01,181.3500,496.8827,9.1496,735301,1,IRMCR2_20091116_01
