topaccumulation,topaccumulationini,mb,surface,deltaspeed,dhdt,hobs,dhobs,dist2obs,dist2mar,flux,flux residual,mask,flux loads,visc_ref,visc_ref_mean,tau_ref,tau_ref_mean,hsia,visc_eff,htau,tau_eff,hb,costvalue,fluxadjoint,djdsmbtop,var,djdvar,grad_fluxdeltaspeed,deltaflux,deltafluxup,deltafluxup residual,deltafluxdown,deltafluxdown residual,deltahsiaup,deltahsiadown,deltahsia,dzs:0,dzs:1,dzs:2,surfslope:0,surfslope:1,surfslope:2,velocity:0,velocity:1,velocity:2,fluxdirection_sia:0,fluxdirection_sia:1,fluxdirection_sia:2,fluxdirection_sia loads:0,fluxdirection_sia loads:1,fluxdirection_sia loads:2,slopedirection_sia:0,slopedirection_sia:1,slopedirection_sia:2,graddsdx_sia:0,graddsdx_sia:1,graddsdx_sia:2,graddsdy_sia:0,graddsdy_sia:1,graddsdy_sia:2,fluxdirection_tau:0,fluxdirection_tau:1,fluxdirection_tau:2,fluxdirection_tau loads:0,fluxdirection_tau loads:1,fluxdirection_tau loads:2,slopedirection_tau:0,slopedirection_tau:1,slopedirection_tau:2,graddsdx_tau:0,graddsdx_tau:1,graddsdx_tau:2,graddsdy_tau:0,graddsdy_tau:1,graddsdy_tau:2,gradflux:0,gradflux:1,gradflux:2,x,y,z
5.617657207,5.617657207,5.249647585,1248.838182,0.2,0.2674439133,201.012495,10.47151335,100000,400.0022479,0,0,-1,-13268575.04,80144.049,80144.049,206916.48,206916.48,169.0476501,90524.10366,89.47604664,96307.82132,-829411.29,0,0,73288475.73,5.617657207,73288475.73,17.34304158,114529.135,0,0,0,0,0,0,0,0.0003754437942,0.000496741533,0,0.4191748535,-0.318715958,0,5.249647585,5.249647585,0,0.3790274188,-0.1180692569,0,-1.455191523e-11,-1.455191523e-11,0,-0.1750750983,0.05453691667,0,5.461750126e-05,-4.486782539e-05,0,-5.979664254e-06,-7.768904304e-05,0,0.1817151956,-0.134881662,0,-1.091393642e-11,-3.637978807e-12,0,-0.09607614107,0.07131439692,0,-9.493031018e-06,-7.70419646e-05,0,4.302533365e-05,-5.033123565e-05,0,43.72674557,42.98846234,0,-2228732.331,966925.5595,0
5.246232084,5.246232084,4.643728784,669.5362749,0.2,-0.04039435365,183.1805561,9.888583049,100000,8.780175311,0,0,-1,-101125.7445,80144.049,80144.049,206916.48,206916.48,70.57189613,6548.566863,29.84758638,7927.39711,-209576.9094,0,0,60306592.32,5.246232084,60306592.32,3.537059482,259276.768,0,0,0,0,0,0,0,0.0003161954672,0.0004534772758,0,0.4852279571,0.1120617439,0,4.643728784,4.643728784,0,0.1136617916,0.04741953895,0,1.818989404e-12,9.094947018e-13,0,-0.05250108133,-0.02190337699,0,-2.00244482e-05,3.969824179e-05,0,0.0001456776966,1.805310421e-05,0,0.05501617312,0.009566495304,0,2.273736754e-13,-5.684341886e-14,0,-0.02908805503,-0.0050579807,0,-4.957899992e-05,3.392624983e-05,0,2.485202923e-05,-3.428536982e-06,0,-26.04586223,43.73115964,0,-2229917.842,966476.6545,0
6.599997864,6.599997864,4.149218917,591.8994578,0.2,-1.948528884,224.5418612,9.554779699,100000,397.9180326,0,0,-1,-1114039.151,80155.88261,80144.049,207064.7011,206916.48,151.0255228,92380.1926,70.05344567,112123.6021,-1176769.389,0,0,-25003950.94,6.599997864,-25003950.94,-42.48151889,116890.2016,0,0,0,0,0,0,0,-9.747203625e-05,-0.0002233463956,0,0.3220845396,-0.4068218383,0,4.149218917,4.149218917,0,-0.01821411408,-0.4885308811,0,-1.455191523e-11,-3.637978807e-11,0,0.00841321143,0.2256554217,0,-1.604792071e-05,-1.338055005e-06,0,6.291144979e-05,-0.000119591425,0,-0.03034351078,-0.3351445342,0,1.091393642e-11,-3.274180926e-11,0,0.01604316805,0.1771970331,0,-1.492360143e-06,5.371867258e-05,0,7.789000065e-05,-8.728990339e-05,0,-242.0966531,29.68905863,0,-2223397.847,1007569.485,0
4.541786337,4.541786337,3.929888098,553.9563507,0.2,-0.1361974903,260.6201006,9.90528298,100000,260.9707866,0,0,-1,743586.1455,80144.049,80144.049,206916.48,206916.48,156.633896,68734.56112,87.13142239,71300.62879,-407647.7475,0,0,-153557085.1,4.541786337,-153557085.1,7.634074945,116956.5527,0,0,0,0,0,0,0,-0.0002442052065,-0.0002088252633,0,-0.6367818493,0.2330634483,0,3.929888098,3.929888098,0,-0.3150061352,-0.1339231842,0,-2.182787284e-11,1.091393642e-11,0,0.1455032732,0.0618599433,0,-0.0001308300948,7.151720036e-05,0,0.0001120848809,-0.0001430829462,0,-0.1652727123,0.04781527849,0,-1.818989404e-12,4.547473509e-13,0,0.08738269999,-0.02528081059,0,-0.0001251280151,3.290849765e-05,0,8.025614862e-05,-9.351625223e-05,0,75.56485551,-37.39448079,0,-2219870.677,1006153.121,0
8.243556639,8.243556639,4.186696112,579.2057957,0.2,-3.550073966,250.6593397,9.791571963,100000,310.0981013,0,0,-1,798303.423,80144.049,80144.049,206916.48,206916.48,144.0625232,79568.96581,92.97161451,77700.60568,-442472.5866,0,0,-29796847.62,8.243556639,-29796847.62,-7.736062009,125613.2926,0,0,0,0,0,0,0,-0.0001483832697,-0.0002271333167,0,0.1764729078,-0.4613804847,0,4.186696112,4.186696112,0,-0.1059130158,-0.4430539197,0,8.185452316e-12,-9.094947018e-12,0,0.04892187409,0.2046493333,0,-4.223170094e-05,6.207280218e-05,0,-9.066824131e-07,-4.674031341e-05,0,0.03505431087,-0.1721839672,0,2.273736754e-13,-2.273736754e-12,0,-0.01853385406,0.09103680662,0,-8.387553827e-05,7.286846174e-05,0,-1.21171064e-05,-9.569170424e-05,0,-122.8221035,84.14179348,0,-2221293.064,1006368.371,0
4.61989302,4.631837609,4.131707276,130.9169007,0.2,0,970.5599953,21.15079992,100000,1786.815127,299182.4195,0,1,4.383036867e-08,148562.2969,80144.049,809479.5267,206916.48,970.5377364,171428.4309,970.5112369,182625.6606,8734296.47,0,33067.28046,775366310.5,4.61989302,775366310.5,-242.4976209,38510.9326,38510.9326,0,38510.9326,0,21.15079992,21.15079992,21.15079992,-0.0003044376605,-0.0001760247647,0,0.008417221926,-0.06919379111,0,4.131707276,4.131707276,0,-0.1594409576,-0.3157054153,0,-1.447006071e-09,-5.267793313e-09,0,0.008374655066,0.0165824641,0,1.386225725e-06,1.931260048e-05,0,1.947127984e-05,3.42086499e-05,0,-0.1506706776,-0.3226259828,0,-9.404175216e-10,-5.820766091e-10,0,0.008851370852,0.0189531385,0,1.959034267e-05,5.29419663e-05,0,4.682106281e-05,0.00011287728,0,-379.6188761,-832.8692284,0,-2217214.602,1001331.47,0
5.56173709,5.612223635,4.295096533,155.2654098,0.2,-0.7972190067,709.7399964,16.49399995,100000,1988.235511,356511.2315,0,1,-1.967418939e-08,103970.0798,80144.049,426097.9258,206916.48,709.7240353,170323.8888,709.7328273,138959.5937,2169974.544,0,42798.7703,3375923310,5.56173709,3375923310,-13.42514311,44561.58374,44561.58374,0,44561.58374,0,16.49399995,16.49399995,16.49399995,-0.0003099259798,-0.0001798393341,0,-0.008902079822,-0.06064145363,0,4.295096533,4.295096533,0,-0.1651791181,-0.3209615753,0,5.020410754e-10,-2.903107088e-09,0,0.01462218742,0.02841255214,0,-3.215771136e-05,-2.022827557e-05,0,-3.932157138e-05,-5.270298315e-05,0,-0.1535800789,-0.3252335655,0,2.270098776e-09,-2.852175385e-09,0,0.009293599439,0.01968087596,0,-2.520148857e-05,-1.933107111e-05,0,-4.328214846e-05,-4.453268154e-05,0,-187.4730036,120.347288,0,-2217496.491,1000898.462,0
4.415145252,4.508081189,4.463809832,184.6013186,0.2,0.496058959,353.8100033,10.98330006,100000,2207.434222,373328.75,0,1,5.098991096e-08,58977.17689,80144.049,432169.4677,206916.48,353.8154146,154961.1966,353.8075231,246727.0634,4228291.565,0,53757.69185,6227326463,4.415145252,6227326463,3.081475958,61274.97671,61274.97671,0,61274.97671,0,10.98330006,10.98330006,10.98330006,-0.0003147652049,-0.0001998539901,0,-0.1077294086,-0.1343299197,0,4.463809832,4.463809832,0,-0.1783900349,-0.3366138326,0,4.365574569e-10,-2.910383046e-11,0,0.04385686413,0.08275589569,0,-9.68584599e-05,-3.037120836e-05,0,-8.41414149e-05,-8.239661712e-05,0,-0.1638785128,-0.3331957347,0,-4.074536264e-10,-4.656612873e-10,0,0.03421288878,0.06956121594,0,-0.0001015783848,-2.732861432e-05,0,-0.0001180709141,-6.176474914e-05,0,-49.63707962,65.0444594,0,-2217788.374,1000470.158,0
4.806947754,4.938326821,4.651929161,332.7046765,0.2,0.2767039173,225.0300006,9.529700007,100000,2470.314032,350329.9033,0,1,1.629814506e-08,47809.56655,80144.049,437278.2919,206916.48,225.0333892,140568.7542,225.0145776,318745.3312,3162695.062,0,56153.88724,8783418900,4.806947754,8783418900,-0.2205460641,80313.40897,80313.40897,0,80313.40897,0,9.529700007,9.529700007,9.529700007,-0.0003135115403,-0.000239092273,0,-0.1723184391,-0.194959909,0,4.651929161,4.651929161,0,-0.2131185237,-0.3412926219,0,1.309672371e-10,2.910383046e-11,0,0.09442006497,0.151206338,0,-6.292069611e-05,2.268966051e-05,0,2.111151099e-06,-2.41548385e-05,0,-0.2005560436,-0.3252853195,0,7.275957614e-11,-1.746229827e-10,0,0.08264273648,0.1340396852,0,-6.239283509e-05,2.314038321e-05,0,-9.638656795e-06,2.996437896e-06,0,-41.61864977,40.51591945,0,-2218089.82,1000058.749,0
4.5817327,4.696293286,4.853270859,461.23967,0.2,0.744450937,240.800001,9.682700012,100000,2724.867915,361866.4565,0,1,3.41096893e-08,40194.61113,80144.049,354343.5646,206916.48,240.8082296,126151.7506,240.7995876,260842.1207,3895711.297,0,59758.16361,7643141907,4.5817327,7643141907,-2.477763533,77771.87564,77771.87564,0,77771.87564,0,9.682700012,9.682700012,9.682700012,-0.0003093016988,-0.0002515177162,0,-0.09347244752,-0.1209985693,0,4.853270859,4.853270859,0,-0.1942307272,-0.2888410946,0,7.275957614e-12,-1.018634066e-10,0,0.08025530621,0.1193479056,0,-1.061599539e-05,6.673813775e-05,0,6.073140969e-05,5.110075201e-05,0,-0.1838107708,-0.2542798793,0,5.820766091e-11,1.600710675e-10,0,0.07054374684,0.09758870688,0,-4.295225284e-06,6.444841231e-05,0,5.113871818e-05,6.832582583e-05,0,5.391942338,-17.78076001,0,-2218409.544,999655.0628,0
