 -0.24101915E+07   0.11925244E+07   0.28949727E+06
 -0.24103386E+07   0.11919319E+07   0.58546844E+06
 -0.24105319E+07   0.11913526E+07   0.36619252E+06
 -0.24291089E+07   0.11899492E+07   0.23055748E+04
 -0.24291921E+07   0.12061348E+07   0.26490955E+06
 -0.24290362E+07   0.12067257E+07   0.22616157E+06
 -0.24288828E+07   0.12073172E+07   0.19059656E+06
 -0.24287314E+07   0.12079093E+07   0.76545976E+05
 -0.24285818E+07   0.12085019E+07   0.11467666E+06
 -0.24284402E+07   0.12090963E+07   0.29317345E+06
 -0.24283102E+07   0.12096935E+07   0.24926945E+06
 -0.24279184E+07   0.12118273E+07   0.76819913E+05
 -0.24278025E+07   0.12124273E+07   0.13034991E+06
 -0.24276795E+07   0.12130260E+07   0.17118688E+06
 -0.24275394E+07   0.12136209E+07   0.11585352E+06
 -0.24273969E+07   0.12142152E+07   0.10327864E+06
 -0.24272546E+07   0.12148095E+07   0.27979513E+06
 -0.24271148E+07   0.12154045E+07   0.24481352E+06
 -0.24269719E+07   0.12159987E+07   0.20534893E+06
 -0.24268245E+07   0.12165919E+07   0.18124544E+06
 -0.24266628E+07   0.12171812E+07   0.16755822E+06
 -0.24264780E+07   0.12177638E+07   0.14951075E+06
 -0.24262693E+07   0.12183382E+07   0.12235375E+06
 -0.24260431E+07   0.12189060E+07   0.94501078E+05
 -0.24258048E+07   0.12194687E+07   0.92359830E+05
 -0.24255618E+07   0.12200296E+07   0.14059271E+05
 -0.24253128E+07   0.12205877E+07   0.10717921E+05
 -0.24250495E+07   0.12211393E+07   0.30077758E+04
 -0.24247671E+07   0.12216813E+07   0.22730525E+05
 -0.24244573E+07   0.12222080E+07   0.92723769E+05
 -0.24241082E+07   0.12227095E+07   0.80734815E+05
 -0.24237263E+07   0.12231866E+07   0.82865713E+05
 -0.24233211E+07   0.12236441E+07   0.92393380E+05
 -0.24228958E+07   0.12240829E+07   0.11260195E+06
 -0.24224516E+07   0.12245027E+07   0.14235683E+06
 -0.24219893E+07   0.12249024E+07   0.17153700E+06
 -0.24215067E+07   0.12252773E+07   0.19660047E+06
 -0.24210006E+07   0.12256198E+07   0.21882550E+06
 -0.24204757E+07   0.12259328E+07   0.24479237E+06
 -0.24199331E+07   0.12262138E+07   0.27342168E+06
 -0.24193734E+07   0.12264590E+07   0.28080395E+06
 -0.24187992E+07   0.12266681E+07   0.28413512E+06
 -0.24182135E+07   0.12268421E+07   0.27778648E+06
 -0.23977443E+07   0.12330956E+07   0.35492136E+06
 -0.23979009E+07   0.12325056E+07   0.37179246E+06
 -0.23980611E+07   0.12319167E+07   0.21500845E+06
 -0.23982260E+07   0.12313291E+07   0.15457449E+06
 -0.23983919E+07   0.12307418E+07   0.12889250E+06
 -0.23985639E+07   0.12301560E+07   0.11069522E+06
 -0.23987315E+07   0.12295689E+07   0.14119199E+04
 -0.23988747E+07   0.12289756E+07   0.14388923E+05
 -0.23989807E+07   0.12283747E+07   0.51540120E+05
 -0.23990641E+07   0.12277702E+07   0.68996874E+05
 -0.23991375E+07   0.12271646E+07   0.95003486E+05
 -0.23992092E+07   0.12265585E+07   0.12103271E+06
 -0.23992839E+07   0.12259523E+07   0.14488620E+06
 -0.23993508E+07   0.12253452E+07   0.17108352E+06
 -0.23994116E+07   0.12247376E+07   0.20266303E+06
 -0.23994749E+07   0.12241311E+07   0.22540993E+06
 -0.23995413E+07   0.12235241E+07   0.23834526E+06
 -0.23996108E+07   0.12229173E+07   0.25149455E+06
 -0.23996814E+07   0.12223107E+07   0.27146749E+06
